2500.0, 2821.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0030.JPG, 05-09 19:43:22, 0, Auto
2360.0, 2800.0, 73.0, 53.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0030.JPG, 05-09 19:43:22, 1, Auto
2500.0, 2820.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0031.JPG, 05-09 19:43:52, 0, Auto
2362.0, 2802.0, 72.0, 52.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0031.JPG, 05-09 19:43:52, 1, Auto
2501.0, 2819.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0032.JPG, 05-09 19:44:22, 0, Auto
2366.0, 2797.0, 71.0, 51.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0032.JPG, 05-09 19:44:22, 1, Auto
2501.0, 2818.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0033.JPG, 05-09 19:44:52, 0, Auto
2365.0, 2797.0, 69.0, 50.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0033.JPG, 05-09 19:44:52, 1, Auto
2501.0, 2815.0, 64.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0034.JPG, 05-09 19:45:22, 0, Auto
2366.0, 2798.0, 69.0, 50.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0034.JPG, 05-09 19:45:22, 1, Auto
2500.0, 2815.0, 64.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0035.JPG, 05-09 19:45:52, 0, Auto
2371.0, 2793.0, 71.0, 51.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0035.JPG, 05-09 19:45:52, 1, Auto
2502.0, 2815.0, 61.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0036.JPG, 05-09 19:46:22, 0, Auto
2373.0, 2787.0, 72.0, 52.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0036.JPG, 05-09 19:46:22, 1, Auto
2502.0, 2813.0, 60.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0037.JPG, 05-09 19:46:52, 0, Auto
2371.0, 2787.0, 73.0, 53.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0037.JPG, 05-09 19:46:52, 1, Auto
2503.0, 2811.0, 60.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0038.JPG, 05-09 19:47:22, 0, Auto
2371.0, 2786.0, 75.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0038.JPG, 05-09 19:47:22, 1, Auto
