897.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6513_CROPED.jpg, path time not found, 1, Auto
865.0, 1862.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6514_CROPED.jpg, path time not found, 0, Auto
892.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6514_CROPED.jpg, path time not found, 1, Auto
861.0, 1862.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6515_CROPED.jpg, path time not found, 0, Auto
887.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6515_CROPED.jpg, path time not found, 1, Auto
857.0, 1863.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6516_CROPED.jpg, path time not found, 0, Auto
884.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6516_CROPED.jpg, path time not found, 1, Auto
855.0, 1862.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6517_CROPED.jpg, path time not found, 0, Auto
880.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6517_CROPED.jpg, path time not found, 1, Auto
851.0, 1863.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6518_CROPED.jpg, path time not found, 0, Auto
875.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6518_CROPED.jpg, path time not found, 1, Auto
850.0, 1862.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6519_CROPED.jpg, path time not found, 0, Auto
872.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6519_CROPED.jpg, path time not found, 1, Auto
846.0, 1863.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6520_CROPED.jpg, path time not found, 0, Auto
868.0, 1857.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6520_CROPED.jpg, path time not found, 1, Auto
845.0, 1862.0, 17.0, 46.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6521_CROPED.jpg, path time not found, 0, Auto
864.0, 1857.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6521_CROPED.jpg, path time not found, 1, Auto
842.0, 1863.0, 17.0, 46.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6522_CROPED.jpg, path time not found, 0, Auto
861.0, 1857.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6522_CROPED.jpg, path time not found, 1, Auto
839.0, 1863.0, 17.0, 46.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6523_CROPED.jpg, path time not found, 0, Auto
857.0, 1856.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6523_CROPED.jpg, path time not found, 1, Auto
838.0, 1863.0, 17.0, 46.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6524_CROPED.jpg, path time not found, 0, Auto
854.0, 1857.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6524_CROPED.jpg, path time not found, 1, Auto
836.0, 1864.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6525_CROPED.jpg, path time not found, 0, Auto
851.0, 1857.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6525_CROPED.jpg, path time not found, 1, Auto
179, 1729, 38, 78, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6525_CROPED.jpg, path time not found, 0, Start 
795, 1815, 84, 105, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6525_CROPED.jpg, path time not found, 1, Start 
179.0, 1729.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6525_CROPED.jpg, path time not found, 0, Auto
795.0, 1815.0, 84.0, 105.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6525_CROPED.jpg, path time not found, 1, Auto
179.0, 1729.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6526_CROPED.jpg, path time not found, 0, Auto
792.0, 1814.0, 86.0, 107.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6526_CROPED.jpg, path time not found, 1, Auto
179.0, 1729.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6527_CROPED.jpg, path time not found, 0, Auto
789.0, 1813.0, 87.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6527_CROPED.jpg, path time not found, 1, Auto
180.0, 1729.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6528_CROPED.jpg, path time not found, 0, Auto
789.0, 1814.0, 84.0, 105.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6528_CROPED.jpg, path time not found, 1, Auto
180.0, 1729.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6529_CROPED.jpg, path time not found, 0, Auto
782.0, 1812.0, 89.0, 111.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6529_CROPED.jpg, path time not found, 1, Auto
180.0, 1729.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6530_CROPED.jpg, path time not found, 0, Auto
783.0, 1814.0, 84.0, 105.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6530_CROPED.jpg, path time not found, 1, Auto
180.0, 1729.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6531_CROPED.jpg, path time not found, 0, Auto
781.0, 1815.0, 82.0, 103.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6531_CROPED.jpg, path time not found, 1, Auto
179.0, 1727.0, 40.0, 81.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6532_CROPED.jpg, path time not found, 0, Auto
777.0, 1813.0, 87.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6532_CROPED.jpg, path time not found, 1, Auto
180.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6533_CROPED.jpg, path time not found, 0, Auto
777.0, 1813.0, 86.0, 107.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6533_CROPED.jpg, path time not found, 1, Auto
181.0, 1732.0, 37.0, 75.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6534_CROPED.jpg, path time not found, 0, Auto
774.0, 1813.0, 86.0, 107.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6534_CROPED.jpg, path time not found, 1, Auto
180.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6535_CROPED.jpg, path time not found, 0, Auto
773.0, 1813.0, 84.0, 105.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6535_CROPED.jpg, path time not found, 1, Auto
181.0, 1732.0, 37.0, 75.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6536_CROPED.jpg, path time not found, 0, Auto
769.0, 1812.0, 87.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6536_CROPED.jpg, path time not found, 1, Auto
181.0, 1730.0, 37.0, 76.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6537_CROPED.jpg, path time not found, 0, Auto
