2128, 1578, 39, 50, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7025.JPG, 23-03 10:55:34, 0, Start 
1496.0, 1447.0, 41.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7051.JPG, 23-03 11:08:34, 1, Auto
1612.0, 1399.0, 37.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7052.JPG, 23-03 11:09:04, 0, Auto
1476.0, 1436.0, 41.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7052.JPG, 23-03 11:09:04, 1, Auto
1593.0, 1387.0, 37.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7053.JPG, 23-03 11:09:34, 0, Auto
1455.0, 1426.0, 41.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7053.JPG, 23-03 11:09:34, 1, Auto
1573.0, 1377.0, 37.0, 47.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7054.JPG, 23-03 11:10:04, 0, Auto
1433.0, 1415.0, 40.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7054.JPG, 23-03 11:10:04, 1, Auto
1553.0, 1365.0, 37.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7055.JPG, 23-03 11:10:34, 0, Auto
1411.0, 1403.0, 40.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7055.JPG, 23-03 11:10:34, 1, Auto
1531.0, 1350.0, 37.0, 47.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7056.JPG, 23-03 11:11:04, 0, Auto
1390.0, 1389.0, 40.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7056.JPG, 23-03 11:11:04, 1, Auto
1512.0, 1337.0, 37.0, 47.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7057.JPG, 23-03 11:11:34, 0, Auto
1368.0, 1375.0, 41.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7057.JPG, 23-03 11:11:34, 1, Auto
1491.0, 1322.0, 36.0, 46.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7058.JPG, 23-03 11:12:04, 0, Auto
1347.0, 1362.0, 41.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7058.JPG, 23-03 11:12:04, 1, Auto
1470.0, 1308.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7059.JPG, 23-03 11:12:34, 0, Auto
1326.0, 1347.0, 42.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7059.JPG, 23-03 11:12:34, 1, Auto
1451.0, 1293.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7060.JPG, 23-03 11:13:04, 0, Auto
1306.0, 1332.0, 42.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7060.JPG, 23-03 11:13:04, 1, Auto
1426.0, 1275.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7061.JPG, 23-03 11:13:34, 0, Auto
1285.0, 1317.0, 41.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7061.JPG, 23-03 11:13:34, 1, Auto
