781.0, 516.0, 52.0, 95.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7960_CROPED.JPG, path time not found, 1, Auto
964.0, 477.0, 49.0, 118.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7961_CROPED.JPG, path time not found, 0, Auto
778.0, 515.0, 53.0, 97.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7961_CROPED.JPG, path time not found, 1, Auto
962.0, 473.0, 51.0, 123.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7962_CROPED.JPG, path time not found, 0, Auto
782.0, 519.0, 52.0, 95.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7962_CROPED.JPG, path time not found, 1, Auto
961.0, 467.0, 54.0, 131.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7963_CROPED.JPG, path time not found, 0, Auto
780.0, 514.0, 53.0, 97.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7963_CROPED.JPG, path time not found, 1, Auto
962.0, 467.0, 54.0, 131.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7964_CROPED.JPG, path time not found, 0, Auto
780.0, 513.0, 55.0, 99.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7964_CROPED.JPG, path time not found, 1, Auto
962.0, 466.0, 54.0, 131.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7965_CROPED.JPG, path time not found, 0, Auto
779.0, 512.0, 56.0, 101.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7965_CROPED.JPG, path time not found, 1, Auto
962.0, 467.0, 52.0, 126.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7966_CROPED.JPG, path time not found, 0, Auto
779.0, 513.0, 56.0, 101.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7966_CROPED.JPG, path time not found, 1, Auto
963.0, 470.0, 49.0, 118.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7967_CROPED.JPG, path time not found, 0, Auto
780.0, 512.0, 57.0, 103.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7967_CROPED.JPG, path time not found, 1, Auto
964.0, 469.0, 48.0, 116.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7968_CROPED.JPG, path time not found, 0, Auto
778.0, 511.0, 59.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7968_CROPED.JPG, path time not found, 1, Auto
965.0, 465.0, 48.0, 116.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7969_CROPED.JPG, path time not found, 0, Auto
779.0, 511.0, 59.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7969_CROPED.JPG, path time not found, 1, Auto
964.0, 464.0, 49.0, 118.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7970_CROPED.JPG, path time not found, 0, Auto
780.0, 514.0, 57.0, 103.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7970_CROPED.JPG, path time not found, 1, Auto
