2572, 1760, 61, 89, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2360_CROPED.jpg, path time not found, 0, Start 
3019.0, 983.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2431_CROPED.jpg, path time not found, 0, Auto
3018.0, 976.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2432_CROPED.jpg, path time not found, 0, Auto
3015.0, 972.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2433_CROPED.jpg, path time not found, 0, Auto
3014.0, 966.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2434_CROPED.jpg, path time not found, 0, Auto
3012.0, 960.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2435_CROPED.jpg, path time not found, 0, Auto
3010.0, 956.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2436_CROPED.jpg, path time not found, 0, Auto
3008.0, 950.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2437_CROPED.jpg, path time not found, 0, Auto
3006.0, 944.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2438_CROPED.jpg, path time not found, 0, Auto
3005.0, 936.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2439_CROPED.jpg, path time not found, 0, Auto
2999.0, 930.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2440_CROPED.jpg, path time not found, 0, Auto
2998.0, 928.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2441_CROPED.jpg, path time not found, 0, Auto
2992.0, 921.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2442_CROPED.jpg, path time not found, 0, Auto
2992.0, 917.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2443_CROPED.jpg, path time not found, 0, Auto
2990.0, 915.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2444_CROPED.jpg, path time not found, 0, Auto
2988.0, 909.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2445_CROPED.jpg, path time not found, 0, Auto
2983.0, 903.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2446_CROPED.jpg, path time not found, 0, Auto
2981.0, 903.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2447_CROPED.jpg, path time not found, 0, Auto
2973.0, 898.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2448_CROPED.jpg, path time not found, 0, Auto
2974.0, 894.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2449_CROPED.jpg, path time not found, 0, Auto
2973.0, 895.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2450_CROPED.jpg, path time not found, 0, Auto
2971.0, 892.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2451_CROPED.jpg, path time not found, 0, Auto
2969.0, 889.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2452_CROPED.jpg, path time not found, 0, Auto
2964.0, 887.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2453_CROPED.jpg, path time not found, 0, Auto
2960.0, 884.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2454_CROPED.jpg, path time not found, 0, Auto
2958.0, 883.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2455_CROPED.jpg, path time not found, 0, Auto
2953.0, 879.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2456_CROPED.jpg, path time not found, 0, Auto
2951.0, 879.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2457_CROPED.jpg, path time not found, 0, Auto
2947.0, 877.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2458_CROPED.jpg, path time not found, 0, Auto
2947.0, 878.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2459_CROPED.jpg, path time not found, 0, Auto
2942.0, 875.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2460_CROPED.jpg, path time not found, 0, Auto
2940.0, 875.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2461_CROPED.jpg, path time not found, 0, Auto
2938.0, 871.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2462_CROPED.jpg, path time not found, 0, Auto
2933.0, 870.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2463_CROPED.jpg, path time not found, 0, Auto
2931.0, 870.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2464_CROPED.jpg, path time not found, 0, Auto
2927.0, 868.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2465_CROPED.jpg, path time not found, 0, Auto
2923.0, 866.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2466_CROPED.jpg, path time not found, 0, Auto
2920.0, 866.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2467_CROPED.jpg, path time not found, 0, Auto
2918.0, 864.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2468_CROPED.jpg, path time not found, 0, Auto
2912.0, 863.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2469_CROPED.jpg, path time not found, 0, Auto
2908.0, 862.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2470_CROPED.jpg, path time not found, 0, Auto
2905.0, 861.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2471_CROPED.jpg, path time not found, 0, Auto
2902.0, 860.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2472_CROPED.jpg, path time not found, 0, Auto
2898.0, 856.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2473_CROPED.jpg, path time not found, 0, Auto
2895.0, 857.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2474_CROPED.jpg, path time not found, 0, Auto
2889.0, 854.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2475_CROPED.jpg, path time not found, 0, Auto
2883.0, 854.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2476_CROPED.jpg, path time not found, 0, Auto
2883.0, 853.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2477_CROPED.jpg, path time not found, 0, Auto
2875.0, 852.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2478_CROPED.jpg, path time not found, 0, Auto
2870.0, 851.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2479_CROPED.jpg, path time not found, 0, Auto
2868.0, 849.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2480_CROPED.jpg, path time not found, 0, Auto
